scraped_at,modele,finition,prix,annee_mise_en_circulation,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,nb_porte,nb_place,couleur,sellerie,classe_emission,emission_CO2,crit_air,usage_commerciale_anterieure,url_annonce
2025-04-09,Toyota Yaris,1.5 VVT-i France Connect,13 290 €,06.07.2020,58 600 km,Essence,Boite de vitesse manuelle,111 CV / 82 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,136 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/toyota-yaris/id/f6bf677a-cf38-4df7-96a5-64f16444e0dc/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Twingo,1.0 SCe Intens,9 290 €,13.01.2021,82 066 km,Essence,Boite de vitesse manuelle,65 CV / 48 kW,1,Citadine,5,4,Noir,Mi-cuir (Sellerie d'origine),EURO 6,118 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/renault-twingo/id/3e636e27-1215-4971-97ab-ffb18b32e2ff/?financePeriod=84&cashAmount=50000
2025-04-09,Mitsubishi ASX,2.2 DI-D Intense Navi Connect 4WD BVA,14 990 €,12.10.2017,82 466 km,Diesel,Boite de vitesse automatique,150 CV / 110 kW,2,SUV,5,5,Gris,Cuir (Sellerie d'origine),EURO 6,,Crit'Air 2,,https://www.autohero.com/fr/mitsubishi-asx/id/6af7de39-2df2-4cb3-938a-20f84d884787/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz GLA,200 Fascination 7G-DCT,22 790 €,05.03.2019,86 571 km,Essence,Double embrayage / DCT,156 CV / 115 kW,2,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,142 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/mercedes-benz-gla/id/a7ba5832-9378-40d2-81db-e4a379cfccd4/?financePeriod=84&cashAmount=50000&impression_id=MmZlZWQ0MDUtOTc4MC00ODIyLTg3ZGItZjE4MjgxMDM3OWQyKzE3NDQxODE5NDExNjI%3D
2025-04-09,Fiat Panda,1.0 Hybride BSG Cross,12 890 €,29.03.2024,6 892 km,Essence,Boite de vitesse manuelle,70 CV / 52 kW,1,Citadine,5,5,Vert,Tissu (Sellerie d'origine),EURO 6,111 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/fiat-panda/id/b22dcb10-b020-4a73-8ec4-2a78691c3c76/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 2008,1.5 Blue-HDi Allure Pack EAT8,18 390 €,31.03.2022,72 059 km,Diesel,Boite de vitesse automatique,131 CV / 96 kW,Inconnu,SUV,5,5,Orange,Mi-cuir (Sellerie d'origine),EURO 6,125 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/peugeot-2008/id/3a7dbe5c-8ebd-4e44-ab52-94750bf7df92/?financePeriod=84&cashAmount=50000&impression_id=NTU4N2JmMWEtYjExNC00NTcyLWJjZjQtMjg2NjkzODM5NmQxKzE3NDQxODE3Mzk2Mjg%3D
2025-04-09,Hyundai i30,SW 1.6 CRDi Business,14 990 €,16.08.2021,98 060 km,Diesel,Boite de vitesse manuelle,115 CV / 85 kW,2,Break,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 2,,https://www.autohero.com/fr/hyundai-i-30/id/46e7f900-e74a-4d13-865e-69f322d4d9a0/?financePeriod=84&cashAmount=50000&impression_id=OTg4MTM5ZDQtZDE1MC00ODhmLWFlMzctZTQ0YjhhMGIyZGI0KzE3NDQxODIwODI5NjM%3D
2025-04-09,Renault Clio,1.0 TCe Business,11 090 €,24.06.2020,58 173 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,119 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/renault-clio/id/8b15cfce-49ca-42f1-8252-1d2d3cf7e091/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz Classe A,200 d Progressive Line 8G-DCT,23 990 €,10.08.2020,90 862 km,Diesel,Double embrayage / DCT,150 CV / 110 kW,2,Berline,5,5,Bleu,Mi-cuir (Sellerie d'origine),EURO 6,126 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/mercedes-benz-classe-a/id/7d605f6c-11b3-4f0b-8f39-a1fe1adab1a6/?financePeriod=84&cashAmount=50000
2025-04-09,Ford EcoSport,1.0 EcoBoost Titanium,11 490 €,31.01.2020,41 421 km,Essence,Boite de vitesse manuelle,125 CV / 92 kW,3,SUV,5,5,Rouge,Tissu (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/ford-eco-sport/id/c8644c5c-f459-4aaa-8737-b64b7bcbb8e4/?financePeriod=84&cashAmount=50000
2025-04-09,Opel Crossland X,1.2 Turbo Elegance,12 890 €,30.12.2021,42 257 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,2,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,131 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/opel-crossland-x/id/b6a76f9d-a594-41ce-99d9-55cf47c91768/?financePeriod=84&cashAmount=50000
2025-04-09,BMW X1,sDrive18d xLine BVA8,26 090 €,28.07.2020,56 085 km,Diesel,Boite de vitesse automatique,150 CV / 110 kW,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,142 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/bmw-x-1/id/1c939532-9b1e-4c3c-8a3e-2c6d30044784/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz Classe GLC,Coupé 250 d Sportline 4Matic 9G-Tronic,34 690 €,08.12.2017,80 281 km,Diesel,Boite de vitesse automatique,204 CV / 150 kW,3,SUV,5,5,Gris,Alcantara (Sellerie d'origine),EURO 6,143 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/mercedes-benz-classe-glc/id/869a5698-75ef-4908-bc59-7ce836a8675c/?financePeriod=84&cashAmount=50000
2025-04-09,Audi A3,Sportback 30 TFSI S Line S Tronic 7,20 890 €,17.04.2019,59 043 km,Essence,Double embrayage / DCT,116 CV / 85 kW,3,Berline,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,112 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/audi-a-3/id/d88b25a1-3224-4e4c-be42-36cb2736fe56/?financePeriod=84&cashAmount=50000
2025-04-09,Hyundai i20,1.0 T-GDi Edition Navi,11 490 €,17.10.2018,63 583 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,109 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/hyundai-i-20/id/e6802fec-1ea8-46fa-876c-48baf8c54dc8/?financePeriod=84&cashAmount=50000&impression_id=ZDg3OWI0YTAtN2MyOS00MzhmLWI5YmMtYTY3YTgwNWI3OTJkKzE3NDQxODE4MjUwNzk%3D
2025-04-09,Toyota Yaris,1.5 Hybrid Dynamic,14 590 €,29.04.2019,53 146 km,Hybride,Boite de vitesse automatique,100 CV / 74 kW,3,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,84 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/toyota-yaris/id/310c8077-4875-4bac-a18f-53bda6c50c83/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 208,1.2 PureTech GT Line EAT8,13 990 €,26.02.2020,32 451 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,2,Citadine,5,5,Jaune,Mi-cuir (Sellerie d'origine),EURO 6,101 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-208/id/6cb737f2-2006-4ee8-8c7e-7dd3727a8a33/?financePeriod=84&cashAmount=50000&impression_id=ZWQ1MzZkYWUtZWQ5Ni00YzllLTg5YzgtNjg3NjhiNTFlNDE0KzE3NDQxODIxNzIzMTM%3D
2025-04-09,Hyundai i10,1.0 Intuitive,9 590 €,14.06.2019,13 581 km,Essence,Boite de vitesse manuelle,66 CV / 49 kW,1,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,117 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/hyundai-i-10/id/fd0abb8e-84ce-4185-9238-9e26384883f4/?financePeriod=84&cashAmount=50000
2025-04-09,Ford Tourneo,Courier 1.5 TD Titanium,15 290 €,27.05.2020,24 449 km,Diesel,Boite de vitesse manuelle,75 CV / 55 kW,2,Monospace,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,145 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/ford-tourneo/id/8eabb512-378c-4078-9d25-2fdeec3eb73a/?financePeriod=84&cashAmount=50000
2025-04-09,Citroen Berlingo,Multispace Taille M 1.5 Blue-HDi Rip Curl,19 690 €,24.03.2021,44 365 km,Diesel,Boite de vitesse manuelle,102 CV / 75 kW,1,Monospace,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,137 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/citroen-berlingo/id/19e4b68e-a774-4857-bf29-930054ab77df/?financePeriod=84&cashAmount=50000
2025-04-09,Audi A5 Sportback,40 TFSI S Line S Tronic 7,33 890 €,13.05.2022,30 503 km,Essence,Double embrayage / DCT,204 CV / 150 kW,1,Berline,5,5,Marron,Mi-cuir (Sellerie d'origine),EURO 6,145 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/audi-a-5-sportback/id/fe7b24e6-e08b-45db-a652-8e798d2622c6/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Clio,0.9 TCe Business,10 390 €,23.05.2019,65 790 km,Essence,Boite de vitesse manuelle,90 CV / 66 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 5,113 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/renault-clio/id/25731bc3-0d58-4eb7-8d52-04860654bdf4/?financePeriod=84&cashAmount=50000
2025-04-09,Seat Leon,1.0 TSI Urban,16 190 €,31.03.2021,52 856 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,2,Berline,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/seat-leon/id/57735b6e-a148-468d-ae8e-7f4ebcef886a/?financePeriod=84&cashAmount=50000&impression_id=NTkwMTA4ZjctMWU3NS00ZjNjLWE3NDktZmMyNDczMjQ3YWFkKzE3NDQxODIwNTY2NDA%3D
2025-04-09,Citroen C5 Aircross,1.2 PureTech Shine EAT8,20 190 €,21.06.2022,51 007 km,Essence,Boite de vitesse automatique,131 CV / 96 kW,1,SUV,5,5,Bleu,Cuir (Sellerie d'origine),EURO 6,150 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/citroen-c-5-aircross/id/91cda609-6de6-4772-9e1e-0af015abb5c8/?financePeriod=84&cashAmount=50000&impression_id=MWE3ZTQxZWYtZTRkNi00MGZkLWI4OTgtMTVlZDJhOWIwZDk4KzE3NDQxODE5OTg4NjA%3D
2025-04-09,BMW Série 2,Active Tourer 216i M Sport,17 090 €,27.06.2018,53 902 km,Essence,Boite de vitesse manuelle,109 CV / 80 kW,3,Monospace,5,5,Noir,Alcantara (Sellerie d'origine),EURO 6,132 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/bmw-serie-2/id/5bf9e994-9667-4dbe-8e8a-dded2fe5626c/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen T-Cross,1.0 TSI United,18 390 €,10.06.2021,38 474 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,2,SUV,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,133 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/volkswagen-t-cross/id/1201066c-4370-4126-bc11-7aa7646a4317/?financePeriod=84&cashAmount=50000
2025-04-09,Citroen C3,1.2 PureTech Shine EAT6,11 490 €,29.04.2019,46 155 km,Essence,Boite de vitesse automatique,110 CV / 81 kW,2,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/citroen-c-3/id/ae767170-8a08-4fc5-923b-aa6ec37d5465/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz Classe A,180 d Progressive Line 8G-DCT,24 890 €,08.07.2022,36 669 km,Diesel,Double embrayage / DCT,116 CV / 85 kW,2,Berline,5,5,Noir,Cuir (Sellerie d'origine),EURO 6,132 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/mercedes-benz-classe-a/id/7ae7248b-853f-4852-b029-8ab9c6c87f00/?financePeriod=84&cashAmount=50000&impression_id=NGQzZWRiOWQtOTM0Mi00YzA3LThiYWItZDY0ZGU1MDc0MzI1KzE3NDQxODE5MjUzODI%3D
2025-04-09,Fiat 500L,1.4 Sport,11 190 €,16.11.2020,61 935 km,Essence,Boite de vitesse manuelle,95 CV / 70 kW,1,Monospace,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,174 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/fiat-500-l/id/7a561907-cb11-4887-ac9f-92dc1c4a304c/?financePeriod=84&cashAmount=50000&impression_id=Mzk4YmRmMDQtOTljMy00ODY5LWI5YjQtZjIzMzFkZTc5MWRlKzE3NDQxODIxNjE3NDQ%3D
2025-04-09,Peugeot 5008,1.5 Blue-HDi GT,23 490 €,16.06.2021,61 545 km,Diesel,Boite de vitesse manuelle,130 CV / 96 kW,3,SUV,5,7,Noir,Mi-cuir (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/peugeot-5008/id/82965be9-7a50-4286-82fc-42c4231b6985/?financePeriod=84&cashAmount=50000&impression_id=NDQ5MjU2YTEtNWEyOS00NjI4LTg4NzgtY2Y2YTJmN2U2ZWY4KzE3NDQxODE3Mjg4Mzc%3D
2025-04-09,Peugeot 208,1.2 PureTech GT Pack EAT8,17 390 €,28.02.2022,25 308 km,Essence,Boite de vitesse automatique,130 CV / 96 kW,2,Citadine,5,5,Gris,Cuir (Sellerie d'origine),EURO 6,122 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-208/id/925a6ab6-eca2-4bcd-8142-08e25b2bef35/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen Tiguan,1.4 TSI Sound BV6,16 390 €,07.02.2018,99 917 km,Essence,Boite de vitesse manuelle,125 CV / 92 kW,3,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/volkswagen-tiguan/id/9a417a94-54dc-4068-a99d-e79e63b078bd/?financePeriod=84&cashAmount=50000
2025-04-09,MINI Clubman,Cooper S Finition Classic BVA7,27 090 €,07.07.2022,40 118 km,Essence,Boite de vitesse automatique,178 CV / 131 kW,1,Break,5,5,Gris,Cuir (Sellerie d'origine),EURO 6,147 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/mini-clubman/id/1a4465ad-37b7-4bfb-bcf5-6065db4f36c0/?financePeriod=84&cashAmount=50000&impression_id=MjU1NGUwNTctMGZhOS00YTM1LTlhYWMtYzhkY2YxOTk0OTI5KzE3NDQxODE4NDYyODI%3D
2025-04-09,Kia Picanto,1.2 GT Line,11 190 €,30.10.2019,53 531 km,Essence,Boite de vitesse manuelle,84 CV / 62 kW,2,Citadine,5,5,Blanc,Cuir (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/kia-picanto/id/138557e0-86b7-45a2-b0d7-b0ec76643681/?financePeriod=84&cashAmount=50000&impression_id=M2Q1NmNmYzctNWNiMC00NmFlLTg1ZDgtZTk0YThlMjY2Y2MxKzE3NDQxODE3NTA0NDY%3D
2025-04-09,Volkswagen Polo,1.5 TSI R-Line Exclusive DSG7,19 290 €,28.05.2021,45 019 km,Essence,Boite de vitesse automatique,150 CV / 110 kW,3,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,146 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/volkswagen-polo/id/2871cd3d-821f-4e81-a275-ab2a1df4cabd/?financePeriod=84&cashAmount=50000&impression_id=ZjkzMGYzMmItMTI4YS00NDg0LTk1MjAtNzgzMzhhYTE0YmU5KzE3NDQxODE4MjUwNDA%3D
2025-04-09,Peugeot 208,1.2 PureTech Style,7 690 €,06.12.2017,64 394 km,Essence,Boite de vitesse manuelle,82 CV / 60 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,104 g/km,Crit'Air 1,Oui,https://www.autohero.com/fr/peugeot-208/id/6656eb5a-2270-4349-b922-e104da9669f5/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 2008,1.2 PureTech GT EAT8,17 490 €,27.02.2020,76 561 km,Essence,Boite de vitesse automatique,155 CV / 114 kW,3,SUV,5,5,Rouge,Mi-cuir (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-2008/id/6ac0d9b6-8ccb-46d9-ade3-39816f9e59e3/?financePeriod=84&cashAmount=50000
2025-04-09,Kia Rio,1.0 T-GDi ISG Active,13 890 €,12.01.2021,23 723 km,Essence,Boite de vitesse manuelle,100 CV / 74 kW,1,Citadine,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,125 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/kia-rio/id/b6b7a182-a842-49a6-bafb-c9b0e75e6efb/?financePeriod=84&cashAmount=50000&impression_id=YjhmZWNkYzktMjFmMi00ZDIxLThlYjQtMzhiMmYxNzZjYzViKzE3NDQxODE5ODI5OTk%3D
2025-04-09,Audi A1,Sportback 30 TFSI Design S Tronic 7,19 290 €,20.05.2021,64 041 km,Essence,Double embrayage / DCT,110 CV / 81 kW,2,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,133 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/audi-a-1/id/83f0698e-8801-4460-842d-e54734e95bcb/?financePeriod=84&cashAmount=50000
2025-04-09,Seat Ibiza,1.0 TSI Urban,12 490 €,20.08.2020,59 928 km,Essence,Boite de vitesse manuelle,95 CV / 70 kW,2,Citadine,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,124 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/seat-ibiza/id/b9385b28-e593-4b97-b32d-a1146526667a/?financePeriod=84&cashAmount=50000&impression_id=ZTBhOTI1N2MtMzM5NC00NGM0LWIyMGItZTFjZTA0NzYxOTljKzE3NDQxODE4ODgzNDA%3D
2025-04-09,Seat Ateca,2.0 TDI Xperience DSG7,23 690 €,15.06.2021,71 956 km,Diesel,Boite de vitesse automatique,150 CV / 110 kW,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,137 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/seat-ateca/id/a481ac7f-e62f-422a-9d16-7d7c045fe30f/?financePeriod=84&cashAmount=50000
2025-04-09,BMW Série 2,Active Tourer 218d xDrive Luxury,17 290 €,07.06.2017,76 533 km,Diesel,Boite de vitesse manuelle,150 CV / 110 kW,2,Monospace,5,5,Blanc,Cuir (Sellerie d'origine),EURO 6,124 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/bmw-serie-2/id/b0e7a0e2-3106-4e02-96d2-cd4cc7c33499/?financePeriod=84&cashAmount=50000
2025-04-09,Nissan Micra,1.0 DIG-T N-Sport,12 490 €,19.07.2019,55 300 km,Essence,Boite de vitesse manuelle,117 CV / 86 kW,3,Citadine,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/nissan-micra/id/9ce5f9df-98c8-42a8-a164-93c7c5eb6ff1/?financePeriod=84&cashAmount=50000
2025-04-09,Skoda Karoq,2.0 TDI SCR 4x4 Scout DSG7,23 090 €,30.11.2020,93 087 km,Diesel,Double embrayage / DCT,190 CV / 140 kW,2,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,173 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/skoda-karoq/id/86eda9d1-b3bb-4aac-9c9d-9dab889caa97/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen Polo,1.0 TSI IQ.Drive DSG7,15 690 €,30.08.2019,95 544 km,Essence,Boite de vitesse automatique,95 CV / 70 kW,2,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,103 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/volkswagen-polo/id/5737225f-481b-48c2-b403-cbabb3f9b85e/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 2008,1.2 PureTech Allure,9 090 €,25.09.2018,47 151 km,Essence,Boite de vitesse manuelle,110 CV / 81 kW,2,SUV,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,103 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-2008/id/909fe49f-826b-4bca-bd21-270298d43347/?financePeriod=84&cashAmount=50000
2025-04-09,Citroen C5 Aircross,1.5 Blue-HDi Feel EAT8,17 290 €,30.01.2020,87 105 km,Diesel,Boite de vitesse automatique,131 CV / 96 kW,2,SUV,5,5,Noir,Cuir (Sellerie d'origine),EURO 6,98 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/citroen-c-5-aircross/id/60c791e6-3c1a-4271-bb3b-34552845fb63/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz GLA,200 AMG Line 7G-DCT,35 290 €,01.08.2022,76 040 km,Essence,Boite de vitesse automatique,163 CV / 120 kW,1,SUV,5,5,Noir,Alcantara (Sellerie d'origine),EURO 6,153 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/mercedes-benz-gla/id/2a0a80f9-7d31-4739-9f8d-6d58507400e5/?financePeriod=84&cashAmount=50000
2025-04-09,Volkswagen T-Roc,2.0 TDI R-Line DSG7,28 090 €,30.03.2022,44 709 km,Diesel,Double embrayage / DCT,150 CV / 110 kW,2,SUV,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,136 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/volkswagen-t-roc/id/9686c19c-20cf-417e-8e4d-f815a16a3dd7/?financePeriod=84&cashAmount=50000&impression_id=YThmMzJmZWMtZmIxNC00NjRjLTg2MGQtZDNjYzI1M2NjMzYwKzE3NDQxODIxNjE3NDM%3D
2025-04-09,Volkswagen Polo,1.0 TSI Confortline DSG7,16 390 €,31.05.2018,35 807 km,Essence,Boite de vitesse automatique,95 CV / 70 kW,2,Citadine,5,5,Orange,Tissu (Sellerie d'origine),EURO 6,105 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/volkswagen-polo/id/258ec205-9bfe-4e2e-9e3f-4b654e53877f/?financePeriod=84&cashAmount=50000&impression_id=NGFkNjNhNDQtZDhmYy00MmJkLWIwMWItZThjMmNjM2FmYTk3KzE3NDQxODIwOTg3NjY%3D
2025-04-09,Mazda CX-3,2.0 Skyactiv-G Selection Skyactiv-Drive,16 890 €,27.11.2019,65 753 km,Essence,Boite de vitesse automatique,121 CV / 89 kW,2,SUV,5,5,Blanc,Cuir (Sellerie d'origine),EURO 6,140 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/mazda-cx-3/id/dbb4d89c-eb1a-46ed-a97e-68ed51065cee/?financePeriod=84&cashAmount=50000&impression_id=NjJlNWRhN2EtZjQ0Yy00YjVmLTgxNGMtNWMyZDZiNDBlZGNjKzE3NDQxODE5NDY0Nzc%3D
2025-04-09,Skoda Karoq,2.0 TDI SCR 4x4 Sportline DSG7,24 790 €,28.06.2021,74 367 km,Diesel,Double embrayage / DCT,150 CV / 110 kW,1,SUV,5,5,Blanc,Tissu (Sellerie d'origine),EURO 6,172 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/skoda-karoq/id/791402bd-6884-4bb4-84db-0546cf93e779/?financePeriod=84&cashAmount=50000
2025-04-09,Renault Captur,1.3 TCe Intens,15 590 €,10.03.2020,40 508 km,Essence,Boite de vitesse manuelle,131 CV / 96 kW,1,SUV,5,5,Bleu,Mi-cuir (Sellerie d'origine),EURO 6,147 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/renault-captur/id/046a7858-4b79-465e-8647-3d685ccee514/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 208,1.2 PureTech GT EAT8,15 590 €,07.06.2021,20 295 km,Essence,Boite de vitesse automatique,100 CV / 74 kW,1,Citadine,5,5,Gris,Mi-cuir (Sellerie d'origine),EURO 6,124 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-208/id/e984e371-b752-4e1f-994f-448f9ce28238/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 2008,1.2 PureTech Allure EAT6,10 490 €,13.11.2018,63 668 km,Essence,Boite de vitesse automatique,110 CV / 81 kW,2,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,114 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/peugeot-2008/id/883db88f-f851-407d-a87d-c23617dd8d4f/?financePeriod=84&cashAmount=50000
2025-04-09,Ford EcoSport,1.5 EcoBlue Titanium,11 990 €,11.04.2019,94 910 km,Diesel,Boite de vitesse manuelle,100 CV / 74 kW,3,SUV,5,5,Blanc,Mi-cuir (Sellerie d'origine),EURO 6,111 g/km,Crit'Air 2,Oui,https://www.autohero.com/fr/ford-eco-sport/id/d8a94526-8ea3-4e71-b04f-7c5af31dc015/?financePeriod=84&cashAmount=50000
2025-04-09,Mercedes-Benz Classe A,180,16 090 €,28.02.2017,58 353 km,Essence,Boite de vitesse manuelle,122 CV / 90 kW,Inconnu,Berline,5,5,Noir,Mi-cuir (Sellerie d'origine),EURO 6,131 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/mercedes-benz-classe-a/id/fde1285c-4fb2-427c-899e-6a264e0ace62/?financePeriod=84&cashAmount=50000
2025-04-09,Peugeot 3008,1.5 Blue-HDi Allure Pack EAT8,21 890 €,11.05.2022,63 275 km,Diesel,Boite de vitesse automatique,130 CV / 96 kW,2,SUV,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,135 g/km,Crit'Air 2,Non,https://www.autohero.com/fr/peugeot-3008/id/36a1bf55-b65c-4750-a56a-6988976561c3/?financePeriod=84&cashAmount=50000&impression_id=N2FiYjNhNjQtMTZjZi00YmI3LWEyODMtMTZkMTEzM2Y5MmI0KzE3NDQxODE5MDQyNDg%3D
2025-04-09,Fiat Tipo,1.4 Easy,10 690 €,30.08.2019,75 585 km,Essence,Boite de vitesse manuelle,95 CV / 70 kW,2,Berline,5,5,Marron,Tissu (Sellerie d'origine),EURO 6,,Crit'Air 1,,https://www.autohero.com/fr/fiat-tipo/id/6df6277c-f9d2-4544-bca5-47799705fbef/?financePeriod=84&cashAmount=50000
2025-04-09,Hyundai Tucson,1.6 GDi Business,14 690 €,28.12.2017,82 406 km,Essence,Boite de vitesse manuelle,132 CV / 97 kW,2,SUV,5,5,Noir,Tissu (Sellerie d'origine),EURO 6,147 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/hyundai-tucson/id/b14dcc00-0c20-4b6c-bb13-c8aa3f07e2c2/?financePeriod=84&cashAmount=50000
2025-04-09,Suzuki Swift,1.2 DualJet Hybrid Avantage,12 890 €,25.02.2021,29 993 km,Essence,Boite de vitesse manuelle,83 CV / 61 kW,1,Citadine,5,5,Gris,Tissu (Sellerie d'origine),EURO 6,106 g/km,Crit'Air 1,Non,https://www.autohero.com/fr/suzuki-swift/id/4855d400-509b-4642-88a3-6af08803a23d/?financePeriod=84&cashAmount=50000
